U
2620,2474,2441,2559,2666,2995,3442,3828,3850,3724,3953,3902,3866,4034,4192,3995,3908,3799,3867,3938,3912
2685,2570,2788,3494,4069,4447,4608,4829,4635,4228,4281,4132,4086,4120,4137,4206,4296,3886,3683,3630,3865
2889,3345,3336,3577,4041,4460,4692,4724,4449,4555,4381,4119,4093,4095,4209,4201,4308,4117,3752,3578,3295
3073,3394,3518,3792,4304,4594,4429,4321,4245,4201,4083,3917,3619,3452,3663,3771,3669,3281,3311,3105,2916
2745,2967,3348,3436,4042,4635,4678,4094,4132,4086,3863,3876,3419,3169,3399,3174,3184,2811,2687,2717,2653
2731,3083,3216,3353,3672,4053,4100,3819,3634,3660,3554,3432,3257,3347,3237,2904,2854,2574,2564,2509,2270
3305,3343,3210,3237,3390,3368,3090,2762,3041,3400,3191,2999,3102,3109,2932,2734,2383,2345,2414,1892,1720
2677,2967,2974,2867,2648,2505,2541,2859,3066,3088,2996,3020,2773,2743,2775,2607,2011,1633,1575,1345,768
2361,2349,2513,2480,2048,2059,2459,2677,2368,2241,2435,2411,2039,1911,1761,1595,1221,786,672,1118,1767
2237,2107,2249,2473,2414,2396,2046,1824,1799,1894,1871,1534,1167,889,710,486,722,1417,2437,2914,3040
2164,2117,2090,2169,2100,2023,1977,1610,1441,1406,964,741,940,1198,1419,1914,2604,2549,2615,2802,2830
2063,1803,1587,1496,1712,1705,1386,1138,840,547,888,1661,2327,2873,3024,2882,2591,2286,2399,2535,2528
1592,1481,1199,804,845,1006,813,553,794,1468,2162,2477,2645,2780,2742,2546,2221,2212,2236,2228,2171
832,832,843,492,77,177,458,1133,1740,2209,2157,2292,2317,2334,2360,2049,2134,2033,2141,2233,1930
236,183,265,199,81,1149,1670,1974,2303,2294,2102,2296,2329,2112,1953,1796,1968,2055,1904,1807,1482
-351,-255,539,2172,2197,1724,1640,1802,2097,1959,2024,1703,1692,1699,1662,1387,1725,1781,1722,1555,1392
1387,2048,2119,2057,1785,1439,1533,1670,1793,1534,1327,1430,1381,1627,1607,1513,1493,1267,1041,1363,1364
2029,1861,1773,1462,1675,1856,1833,1743,1483,1227,1205,1324,1301,1192,1237,1143,1082,850,749,927,920
1689,1490,1282,1420,1858,1784,1546,1362,974,902,949,631,731,632,625,479,494,130,141,-204,-180
1215,1260,1366,1432,1421,1065,852,792,394,323,210,53,-138,-167,-187,-314,-509,-550,-832,-1019,-1181
1015,921,983,912,672,296,326,58,-258,-678,-671,-853,-999,-1011,-1149,-1244,-1370,-1241,-1505,-1516,-1661
V
1124,1417,1523,1802,1773,1486,822,-54,-674,-1109,-1275,-1224,-1314,-1397,-1259,-1171,-1146,-997,-1197,-1622,-1738
311,550,1234,1307,1065,750,231,-195,-430,-612,-802,-1084,-1271,-1239,-1237,-1239,-935,-669,-1174,-1811,-2091
571,831,846,650,663,596,537,331,-120,-465,-814,-1106,-1203,-1274,-1192,-1142,-1070,-1249,-1440,-1596,-1780
51,471,621,592,693,699,596,280,-302,-668,-843,-639,-725,-1137,-981,-994,-1310,-1660,-1809,-1784,-1840
-2,118,214,152,295,240,422,361,108,-138,-11,-312,-772,-911,-721,-939,-1134,-1219,-1378,-1679,-2124
50,248,405,462,488,564,657,520,392,273,-155,-586,-570,-460,-660,-974,-1126,-1138,-1243,-1566,-1565
-153,24,203,399,726,822,843,791,524,140,-342,-488,-287,-559,-954,-823,-673,-831,-791,-625,-278
-21,121,199,328,821,925,765,553,405,62,-255,36,-41,-586,-765,-486,-178,-189,-231,269,646
-236,81,400,823,1075,862,653,382,156,179,199,147,-242,-521,-322,119,263,304,583,731,-92
343,344,390,649,859,736,543,615,345,355,257,190,279,222,323,480,468,-196,-1128,-1238,-1358
473,406,508,564,985,1395,1160,501,657,690,862,1067,411,-123,-191,-154,-1175,-1734,-1918,-1573,-1307
611,724,701,648,602,714,1011,1230,1306,1144,882,-67,-652,-1048,-1319,-1551,-1759,-1983,-1897,-1379,-1261
730,939,1065,863,919,1328,1480,1367,1231,731,-440,-1434,-1733,-1817,-1876,-1718,-1744,-1868,-1601,-1150,-1015
1364,1752,1606,1181,1279,1635,1478,831,-36,-831,-1407,-1910,-1964,-1902,-1855,-1701,-1697,-1450,-1324,-883,-966
1962,1925,1882,1949,1694,618,-528,-1178,-1314,-1743,-1989,-2155,-2161,-1912,-1683,-1521,-1485,-1177,-926,-766,-832
2486,2498,2057,626,16,-826,-1396,-1871,-1921,-2063,-1980,-2090,-2090,-1950,-1356,-1141,-1291,-1211,-904,-597,-702
784,333,266,-81,-893,-1212,-1655,-2056,-2059,-1902,-2085,-1896,-1743,-1496,-1120,-1315,-1229,-690,-593,-498,-640
-219,-44,-288,-861,-1340,-1723,-2081,-2167,-1932,-1763,-1504,-1421,-1569,-1304,-1229,-1310,-1158,-780,-817,-807,-649
-211,-618,-840,-1281,-1929,-2117,-2171,-1844,-1694,-1743,-1637,-1496,-1447,-1308,-1358,-1283,-1245,-1257,-1064,-907,-976
-982,-1147,-1359,-1599,-1734,-1807,-1798,-1553,-1595,-1768,-1550,-1568,-1471,-1285,-1006,-1096,-1140,-1207,-1078,-915,-806
-1402,-2089,-2108,-1996,-1790,-1738,-1429,-1317,-1654,-1764,-1407,-1309,-1177,-986,-1091,-1089,-868,-912,-887,-705,-528
