U
3912,3689,3628,3873,3882,4267,4641,4475,4242,2501,2782,3845,3859,4248,4254,4332,3517,-1614,-2086,-1454,-1532
3890,3523,3687,3546,3392,3969,4213,4342,4239,3023,3277,3794,3747,4393,4301,4320,3610,334,-1560,-1254,-1228
3593,3178,3596,3529,3024,3623,4123,4300,4177,3394,3543,3562,3501,4263,4462,4565,3971,2638,-867,-1171,-863
3166,3126,3401,3189,2690,3345,4149,4269,4093,3683,3250,3555,3591,3885,4636,4983,4579,4681,46,-1079,-437
2916,3024,3381,2917,2490,3181,3824,4304,4133,3473,3184,3681,3676,3954,4652,5398,5307,5291,1489,-635,-312
2744,2761,2977,2830,2738,3269,3870,4224,4042,3669,3219,3535,3827,3932,4575,5339,5810,5635,3213,15,357
2501,2635,2271,2579,2856,3298,3943,4131,3960,3655,3373,3423,3829,3893,4390,5187,5980,5869,4374,567,1044
2124,2230,1757,2435,2954,3638,4004,3969,3762,3425,3342,3350,3651,3910,4276,5022,5824,5930,4716,939,1507
1720,1799,1842,2506,3218,3835,3830,3630,3484,3216,3299,3279,3429,3883,4196,4837,5506,5679,4465,1386,1708
1054,1243,2064,2774,3383,3693,3547,3448,3184,3118,3296,3214,3291,3676,4057,4619,5200,5353,4098,1832,2124
1006,1566,2498,2873,3380,3405,3297,3368,2947,3040,3121,3000,3107,3416,3834,4378,4914,4980,3887,2235,2332
2194,2742,2750,2905,3251,3027,3150,3247,2823,2922,2890,2855,2863,3017,3508,4062,4621,4557,3808,2531,2172
3040,2697,2733,2970,2931,2704,3101,3053,2680,2896,2623,2484,2380,2748,3197,3696,4296,3948,3268,2531,1816
2900,2476,2473,2797,2717,2548,2941,2845,2612,2465,2198,2011,2120,2455,2884,3322,3892,3398,2812,2652,1622
2659,2279,2272,2426,2635,2452,2641,2589,2349,2014,1811,1765,1839,2108,2546,2899,3327,3101,2635,2681,1506
